"","location","cnt","lat","long","lat_min","lat_max","lon_min","lon_max"
"1140","St Louis, Missouri, United States",4,38.6280278,-90.1910154,38.5323215,38.7743018,-90.3206525,-90.1641941
"1141","St Louis, MO",23,38.6280278,-90.1910154,38.5323215,38.7743018,-90.3206525,-90.1641941
"1142","St Paul, MN",34,44.9497487,-93.0931028,44.8872692,44.9920237,-93.2078138,-93.0043117
"1143","St Petersburg, FL",37,27.7700475,-82.6359078,27.643638,27.913901,-82.769023,-82.540618
"1144","Stamford, CT",6,41.0534302,-73.5387341,40.9645138,41.179929,-73.6339806,-73.4954009
"1145","State College, PA",2,40.7944504,-77.8616386,40.7683701,40.8072297,-77.8861677,-77.8189976
"1146","Staten Island, NY",2,40.5834557,-74.1496048,40.476578,40.651506,-74.258843,-74.034613
"1147","Steamboat Springs, CO",2,40.4848003,-106.831735,40.439398,40.528944,-106.886846,-106.780182
"1148","Sterling Heights, MI",2,42.5803122,-83.0302033,42.534792,42.6275327,-83.0914436,-82.9696437
"1149","Stillwater, MN",14,45.0564041,-92.8134982,45.0313454,45.0801161,-92.8632385,-92.785517
"1150","Stockbridge, GA",6,33.5442781,-84.2338093,33.479245,33.572707,-84.292175,-84.159687
"1151","Stockton, CA",20,37.9577016,-121.2907796,37.887747,38.0583,-121.419736,-121.1840372
"1152","Sturtevant, WI",2,42.6980749,-87.8945229,42.6832899,42.726521,-87.919081,-87.8794157
"1153","Suffern, NY",8,41.1151372,-74.1493948,41.098299,41.126903,-74.161147,-74.123102
"1154","Sugar Land, TX",14,29.6196787,-95.6349463,29.5125241,29.6618724,-95.6981147,-95.5804963
"1155","Summersville, WV",1,38.2812203,-80.8525981,38.237357,38.316279,-80.864232,-80.822826
"1156","Summerville, SC",6,33.0186699,-80.1762704,32.944854,33.0551744,-80.235478,-80.124797
"1157","Sun City Center, FL",2,27.718086,-82.351759,27.698086,27.738086,-82.371759,-82.331759
"1158","Sun City West, AZ",1,33.6619813,-112.341269,33.6219813,33.7019813,-112.381269,-112.301269
"1159","Sun City, AZ",1,33.6290111,-112.281933,33.5890111,33.6690111,-112.321933,-112.241933
"1160","Sunnyvale, CA",10,37.3688301,-122.036349,37.3302233,37.4639045,-122.0651995,-121.9824624
"1161","Sunrise, FL",2,26.1666888,-80.2787573,26.1022942,26.1937614,-80.36649,-80.226671
"1162","Superior, CO",4,39.9527634,-105.1685977,39.9127634,39.9927634,-105.2085977,-105.1285977
"1163","Sylvania, OH",24,41.7189392,-83.7129935,41.681655,41.7265011,-83.749963,-83.665377
"1164","Syracuse, NY",12,43.0481221,-76.1474244,42.984165,43.086121,-76.204629,-76.074273
"1165","Tacoma, WA",14,47.2455013,-122.438329,47.1668108,47.31898,-122.562265,-122.3481499
"1166","Tallahassee, FL",15,30.4380832,-84.2809332,30.3466959,30.5872436,-84.3780355,-84.1299504
"1167","Tampa, FL",101,27.9477595,-82.458444,27.8212598,28.1713602,-82.5864954,-82.2538678
"1168","Tanner, AL",12,34.7314787,-86.9705632,34.7114787,34.7514787,-86.9905632,-86.9505632
"1169","Taylor, TX",8,32.2793121,-99.8812612,32.0809726,32.5228148,-100.1519322,-99.6295708
"1170","Temecula, CA",7,33.4946353,-117.1473661,33.4321253,33.554625,-117.2066945,-117.0548703
"1171","Tempe, AZ",100,33.4255117,-111.9400164,33.3200407,33.4653292,-111.9784941,-111.8774169
"1172","Temple, TX",4,31.098207,-97.3427847,31.008152,31.2090642,-97.558038,-97.2913672
"1173","Tennessee, United States",36,35.7730076,-86.2820081,34.982938,36.678118,-90.310298,-81.6472191
"1174","Texas, United States",34,31.2638905,-98.5456116,25.83706,36.5004529,-106.6458459,-93.5078217
"1175","The Woodlands, TX",10,30.1734194,-95.504686,30.1030423,30.2305685,-95.601198,-95.4342991
"1176","Thief River Falls, MN",4,48.1172301,-96.1770667,48.078726,48.1334886,-96.2116395,-96.1330178
"1177","Thornton, CO",15,39.8695516,-104.985181,39.8310116,40.0009278,-105.0155315,-104.8778931
"1178","Thousand Oaks, CA",14,34.1705609,-118.8375937,34.1246869,34.2508707,-119.0016818,-118.7765123
"1179","Three Bridges, NJ",1,40.5198217,-74.7992075,40.4998217,40.5398217,-74.8192075,-74.7792075
"1180","Tigard, OR",24,45.4307473,-122.771933,45.3932421,45.4564334,-122.8569239,-122.7434206
"1181","Toledo, OH",4,41.6529143,-83.5378173,41.580266,41.7328519,-83.694237,-83.4546108
"1182","Tolleson, AZ",26,33.4500497,-112.259309,33.435632,33.4655831,-112.2899812,-112.2212649
"1183","Tomah, WI",6,43.978576,-90.5040214,43.954339,44.026009,-90.537999,-90.459656
"1184","Topeka, KS",10,39.049011,-95.677556,38.917193,39.1094,-95.812263,-95.6019399
"1185","Toppenish, WA",2,46.3775015,-120.308938,46.367623,46.399891,-120.335942,-120.281501
"1186","Torrance, CA",25,33.8358492,-118.3406288,33.7802812,33.8871325,-118.4844862,-118.308127
"1187","Torrington, CT",1,41.8006523,-73.1212214,41.7756505,41.8942833,-73.2018387,-73.053648
"1188","Towson, MD",6,39.3964591,-76.6148148,39.3719938,39.4210052,-76.6671394,-76.5630344
"1189","Tracy, CA",2,37.7385507,-121.4201395,37.660562,37.7796084,-121.5490193,-121.3801009
"1190","Trinity, FL",4,28.185725,-82.661141,28.173247,28.198298,-82.700171,-82.619278
"1191","Troutdale, OR",2,45.5317928,-122.391155,45.5064761,45.5657556,-122.4303269,-122.3674876
"1192","Troy, MI",41,42.7284117,-73.6917878,42.69404,42.795272,-73.706439,-73.649163
"1193","Troy, NY",4,42.7284117,-73.6917878,42.69404,42.795272,-73.706439,-73.649163
"1194","Tucker, GA",2,33.8532701,-84.2200729,33.81406,33.886452,-84.263153,-84.126103
"1195","Tucson, AZ",32,32.2228765,-110.974847,31.9904069,32.3209098,-111.0582298,-110.708206
"1196","Tukwila, WA",20,47.4627356,-122.2559156,47.429547,47.531774,-122.318354,-122.240356
"1197","Tulalip, WA",2,48.0713855,-122.2648674,48.021275,48.123733,-122.390637,-122.1784429
